val_loss,val_auc,epoch,step,train_loss,train_auc
0.6147556900978088,0.722709053160761,0,7392,,
,,0,7392,0.6393406391143799,0.687815673434742
0.6077987551689148,0.7308813415396118,1,14785,,
,,1,14785,0.6149374842643738,0.7241968117082282
0.6015005707740784,0.7420196727342141,2,22178,,
,,2,22178,0.6071016788482666,0.7336936781391513
0.6403652429580688,0.6838781500040749,3,29571,,
,,3,29571,0.6046396493911743,0.7363268900815114
0.5973870754241943,0.7454352324767759,4,36964,,
,,4,36964,0.6084655523300171,0.7314524760385026
0.5971619486808777,0.744173879117778,5,44357,,
,,5,44357,0.6015827655792236,0.7399848531569215
0.5899295806884766,0.7524517626851086,6,51750,,
,,6,51750,0.6001107692718506,0.7417940562179549
0.5944963693618774,0.7472894167905655,7,59143,,
,,7,59143,0.5965644121170044,0.7464902048800331
0.5842108130455017,0.757771246392914,8,66536,,
,,8,66536,0.5935385227203369,0.7499105021104816
0.5852231383323669,0.7589860072816772,9,73929,,
,,9,73929,0.5914997458457947,0.7522229451685466
0.5802299976348877,0.762472015181682,10,81322,,
,,10,81322,0.5904976725578308,0.7535945657439059
0.5817917585372925,0.7633690109046949,11,88715,,
,,11,88715,0.589493989944458,0.7545624236265405
0.580062985420227,0.7655574981312847,12,96108,,
,,12,96108,0.5875211954116821,0.7568985551628393
0.5828218460083008,0.7638977445257005,13,103501,,
,,13,103501,0.5868061184883118,0.757358996231627
0.5777429342269897,0.7679695201413502,14,110894,,
,,14,110894,0.5863873958587646,0.7580686041542568
0.5816892981529236,0.7661424636799857,15,118287,,
,,15,118287,0.5847115516662598,0.7598951863596782
0.5760676860809326,0.7693643500243037,16,125680,,
,,16,125680,0.5837494134902954,0.7611132064391757
0.5799652338027954,0.765682924404044,17,133073,,
,,17,133073,0.5838325023651123,0.7610481425093455
0.5778067111968994,0.7679082023171054,18,140466,,
,,18,140466,0.5836449265480042,0.7615725140113965
0.576858401298523,0.7668201172542453,19,147859,,
,,19,147859,0.5828469395637512,0.7620388755488972
0.5774263739585876,0.7699248587666568,20,155252,,
,,20,155252,0.5819901823997498,0.7630691007542005
0.5744745135307312,0.7704591261757776,21,162645,,
,,21,162645,0.5813835859298706,0.7636192771537591
0.5721568465232849,0.7741017954835304,22,170038,,
,,22,170038,0.5804998874664307,0.7644064946737074
0.5778195261955261,0.7686084594686321,23,177431,,
,,23,177431,0.5794520974159241,0.7655385798027335
0.5720613598823547,0.7726077575433072,24,184824,,
,,24,184824,0.5793276429176331,0.7657396006692093
0.5739643573760986,0.7710030464093223,25,192217,,
,,25,192217,0.5787328481674194,0.7663484362786852
0.5694802403450012,0.7746514437618455,26,199610,,
,,26,199610,0.5781107544898987,0.7670380327580578
0.572419285774231,0.7720338738959746,27,207003,,
,,27,207003,0.5776482820510864,0.767451872567777
0.575905442237854,0.7684621084424662,28,214396,,
,,28,214396,0.5782902240753174,0.7667972211412991
0.5726561546325684,0.7736808691915333,29,221789,,
,,29,221789,0.5788998603820801,0.7658952369154852
0.5744232535362244,0.7707079125466708,30,229182,,
,,30,229182,0.5777431726455688,0.7673671303490966
0.5723777413368225,0.7750064543562262,31,236575,,
,,31,236575,0.5759866833686829,0.7692010042786563
0.573578953742981,0.7707877606180543,32,243968,,
,,32,243968,0.5761972069740295,0.7688688734476005
0.5740340352058411,0.7707132754696666,33,251361,,
,,33,251361,0.5770418643951416,0.7679981075384449
0.5727835297584534,0.7720800715364424,34,258754,,
,,34,258754,0.5756856799125671,0.7694428087421924
0.5741934180259705,0.7706759134966683,35,266147,,
,,35,266147,0.5743697285652161,0.7708691888806838
0.5694348216056824,0.7755652875313113,36,273540,,
,,36,273540,0.5758854746818542,0.7690796403090905
0.5756238102912903,0.7718604689131979,37,280933,,
,,37,280933,0.5742474794387817,0.7710351877868076
0.5715159773826599,0.7764792893655297,38,288326,,
,,38,288326,0.5734755396842957,0.7719744252006995
0.5696858763694763,0.7750191449131562,39,295719,,
,,39,295719,0.5730196833610535,0.7724687062978274
0.5688262581825256,0.7763099495492455,40,303112,,
,,40,303112,0.574601411819458,0.770611104886174
0.57161545753479,0.7745841521058877,41,310505,,
,,41,310505,0.57455974817276,0.7710566374591016
0.5726258158683777,0.7734635709182246,42,317898,,
,,42,317898,0.5731276273727417,0.7719342121539366
0.569503903388977,0.7784119261534648,43,325291,,
,,43,325291,0.5741262435913086,0.771101949480137
0.5683203935623169,0.778231149981485,44,332684,,
,,44,332684,0.571736216545105,0.7735967538289574
0.5695598125457764,0.7760616489829547,45,340077,,
,,45,340077,0.5713052749633789,0.7739153442533971
0.5728350877761841,0.7726761491892771,46,347470,,
,,46,347470,0.5728444457054138,0.7726514588048005
0.5665987133979797,0.7789504348904017,47,354863,,
,,47,354863,0.5723192095756531,0.7730551148813225
0.5657991766929626,0.7803955811738241,48,362256,,
,,48,362256,0.5703355669975281,0.7752660272265589
0.5677364468574524,0.7783215437964227,49,369649,,
,,49,369649,0.5710291266441345,0.7748232778190982
